Chain,RecordTime,Delay
Chain2,36041,141
Chain1,36066,226
Chain3,36120,280
Chain4,36123,963
Chain1,36155,235
Chain2,36166,166
Chain4,36194,914
Chain1,36230,230
Chain3,36262,262
Chain2,36269,169
Chain1,36324,244
Chain4,36326,926
Chain2,36344,144
Chain1,36388,228
Chain3,36431,271
Chain4,36433,913
Chain2,36440,140
Chain1,36463,223
Chain3,36518,198
Chain1,36534,214
Chain4,36554,914
Chain2,36561,161
Chain1,36625,225
Chain2,36631,131
Chain3,36639,159
Chain4,36674,914
Chain1,36690,210
Chain2,36729,129
Chain1,36782,222
Chain2,36789,89
Chain4,36792,912
Chain3,36800,160
Chain1,36844,204
Chain2,36890,90
Chain3,36976,176
Chain4,36979,979
Chain1,36995,275
Chain1,37066,266
Chain4,37086,966
Chain2,37120,220
Chain1,37171,291
Chain4,37173,933
Chain2,37198,198
Chain3,37221,261
Chain1,37256,296
Chain2,37273,173
Chain1,37294,254
Chain4,37333,973
Chain1,37370,250
Chain2,37388,188
Chain3,37435,315
Chain4,37437,957
Chain1,37468,268
Chain2,37499,199
Chain1,37534,254
Chain4,37552,952
Chain3,37560,280
Chain2,37577,177
Chain1,37636,276
Chain4,37646,926
Chain2,37652,152
Chain1,37669,229
Chain3,37739,299
Chain1,37755,235
Chain4,37758,918
Chain2,37769,169
Chain1,37830,230
Chain3,37857,257
Chain2,37869,169
Chain4,37896,936
Chain1,37933,253
Chain2,37954,154
Chain3,37962,202
Chain1,37996,236
Chain4,38033,953
Chain2,38040,140
